kpi_id,kpi_key,kpi_name,pillar_id,unit,weight,min_ideal,max_ideal,invert,description,example,definition,iso_42001_clause,eu_ai_act_clause,eu_ai_act_chapter,iso_42001_chapter,coverage_category,regulatory_link,requirement_summary
dd5894c7-60cb-428d-9d6c-1e7b050b1145,phase_gate_ontime,Phase-gate on-time,964ac6a4-9741-41d9-b24c-c7717c9fda1a,%,1,,,f,"Share of phase‑gate milestones (e.g., design review, launch readiness) completed on or before the planned date.",88% (22 of 25 milestones completed on/before target),"Phase-gate On-time: 
1. Core Objective
Measures project discipline and governance health by tracking adherence to planned lifecycle milestones (phase gates).
Prevents 'governance debt' caused by rushed compliance checks.
2. Key Performance Indicators (KPIs)
Definition
- Share of phase-gate milestones completed on or before the planned date.
Calculation & Example
- Formula: (Milestones On-time / Total Milestones) * 100.
- Example: '88% (22 of 25 milestones completed on/before target)'.
3. Required Evidence
- Project Plan: Baseline schedule with target dates.
- Sign-off Logs: Verified actual completion dates (Jira/Minutes).
- Variance Report: Explanations for any slippage.
4. Ownership & Timeline
- Owners: Project Manager, PCL.
- Timeline: Continuous tracking; reported at every gate.",ISO42001:8.2.2,Art. 17 QMS — Lifecycle Controls,,,,,
418b119f-c4df-4d81-ae5e-f26e3a07fec6,factsheet_completion,External Trust Factsheet completion,14893936-5bde-4978-b7ea-d0eed4a4cdf1,%,1,40,100,f,"Binary/percentage indicating completion of an externally shareable trust factsheet (e.g., security, privacy, AI transparency) for each product.",100% (5/5 products have published Trust Factsheets),"Tech Docs & Factsheet Completion: 
1. Core Objective
Ensures the AI system satisfies 'Gate to Launch' requirements by completing mandatory technical documentation (EU AI
Act Annex IV) and a public-facing Trust Factsheet for transparency.
2. Key Performance Indicators (KPIs)
Definition
- Internal: % completeness of Annex IV technical index.
- External: Binary readiness of the public Trust Factsheet.
Targets & Impact
- Gatekeeper: Pillar score capped at 50 if docs missing (Blocks Launch).
- Example: '100% (Factsheet published + Annex IV index complete)'.
3. Required Evidence
- Tech Bundle: Registry of model/data/risk docs (Annex IV).
- Factsheet: Markdown/HTML file ready for publication.
- Timestamps: Proof of completion before GTM date.
4. Ownership & Timeline
- Owners: PCL (Editor), Lead ML Eng, Legal.
- Timeline: 2-4 weeks from zero; 2-3 days if data exists.",ISO42001:7.5,Art. 11 Technical Documentation,,,,,
35de6d4d-0573-4309-a847-b468c5143772,audit_log_integrity,Audit log integrity,492d404f-a1f4-4764-87de-40088244a048,%,1,,,f,"Binary/score indicating cryptographic integrity and immutability guarantees for audit logs (e.g., hashing, WORM storage) across in‑scope systems.",100% (SHA-256 hash chain + S3 Object Lock WORM; daily verification passes),"Audit Log Integrity: 
1. Core Objective
Ensures the digital trail of AI decisions is trustworthy and tamper-evident using cryptographic guarantees, proving to
auditors that logs are original and unaltered.
2. Key Performance Indicators (KPIs)
Definition
- Score indicating cryptographic integrity/immutability of logs.
Mechanisms & Example
- Tech: SHA-256 hash chains, WORM storage (Write Once Read Many).
- Formula: (Services with tamper-evident logs / Total services) * 100.
- Example: '100% (SHA-256 hash chain + S3 Object Lock)'.
3. Required Evidence
- Log Schema: Documentation of log structure.
- Crypto Proofs: Merkle proofs or hash-chains.
- Anchor Receipts: Daily timestamped proofs stored separately.
- Verification Reports: Auto-reports (e.g., 'zero mismatches').
4. Ownership & Timeline
- Owners: Platform/SRE, Security Team.
- Timeline: 2-4 weeks setup; daily verification thereafter.",ISO42001:8.5,Art. 12 Record-keeping & Logging,,,,,
c482b5e6-2c92-43a2-9239-1bbaaf136416,fallback_success,Safe fallback success rate,56308af8-0b67-4754-a2d6-c02d1a37e3d9,%,1,,,f,"Percentage of times the system successfully falls back to a safe, policy‑compliant path when primary AI service is unavailable or uncertain.","96% (successful policy-compliant fallbacks on 2,403 of 2,500 attempts)","Safe Fallback Modes (rate) : 
1. Core Objective
Ensures system resilience by verifying that the AI can degrade gracefully to a safe, policy-compliant path (rule-based or
human) if the primary model fails or becomes uncertain.
2. Key Performance Indicators (KPIs)
Definition
- Percentage of successful fallbacks when primary AI is unavailable.
Calculation & Example
- Formula: (Successful fallbacks / Total attempts) * 100.
- Scope: Automated circuit breakers and manual kill-switches.
- Example: '96% (successful fallbacks on 2,403 attempts)'.
3. Required Evidence
- Playbooks: Documentation for kill-switches/rollbacks.
- Test Logs: Results from monthly drills or chaos testing.
- Canary Metrics: Proof of traffic shift during incidents.
4. Ownership & Timeline
- Owners: SRE, Release Engineering, PCL.
- Timeline: Monthly drills or continuous automated checks.",ISO42001:8.4,"Art. 15 Robustness, Accuracy, Cybersecurity",,,,,
e6cba0d5-febb-4a40-9956-04b50db76ce6,findings_sla_days,Findings SLA (days),964ac6a4-9741-41d9-b24c-c7717c9fda1a,days,1,0,30,t,Average number of days to remediate audit/compliance findings from creation to closure compared against the defined SLA target.,18 (avg days to close audit findings vs SLA 30 days),"Findings remediation SLA:
 1. Core Objective
Measures operational efficiency in governance by tracking the speed of fixing audit findings. Ensures 'Continuous
Improvement' by preventing a backlog of known compliance gaps.
From an ISO 42001 standpoint, this KPI demonstrates how effectively the organisation identifies, remediates, and closes risks or nonconformities within its AI management system, showing whether corrective actions are timely and aligned with the required governance processes. Under the EU AI Act, timely remediation of findings is essential to maintain ongoing compliance for high-risk AI systems, ensuring that risks are addressed within defined SLAs to meet conformity-assessment and post-market monitoring expectations

2. Key Performance Indicators (KPIs)
Definition
- Average days to remediate findings from creation to closure.
Calculation & Example
- Unit: Days.
- Metric: Avg days to close vs. defined SLA target.
- Example: '18 days avg (vs SLA 30 days)'.
3. Required Evidence
- Findings Register: Central log of gaps (CAPA/Jira).
- Timestamps: Creation Date vs. Closure Date.
- Remediation Proof: Evidence of the fix (PR, Doc update).
4. Ownership & Timeline
- Owners: PCL (tracker), Engineering (fixers).
- Timeline: Continuous monitoring (rolling average)..",ISO42001:10.2,Art. 17 QMS — Corrective Actions,,,,,
5f33b003-4ec3-4f54-9cb8-e048d57315e6,dsr_sla_days,DSR/erasure SLA (days),71083a27-557a-4e54-9bf6-5a0020074a0d,days,1,0,30,t,"Average days to fulfill data subject requests (access, erasure) from receipt to completion, compared to SLA.",12 (avg completion time; SLA 30 days; n=41 DSRs),"DSR/Erasure SLA:
1. Core Objective
Ensures compliance with privacy regulations (GDPR/CCPA) by measuring the speed and efficiency of fulfilling Data
Subject Requests (access, erasure) against internal safety targets.
2. Key Performance Indicators (KPIs)
Definition & Targets
- Definition: Avg days to fulfill requests or % met within SLA.
- Target: Internal SLA <= 14 days (Statutory limit often 30 days).
Calculation
- Formula: (Requests closed <= SLA / Total Requests) * 100.
- Nuance: Includes 'stop-the-clock' allowance for ID checks.
3. Required Evidence
- Request Tracker: Start/stop timestamps for all tickets.
- Pause Logs: Evidence of delays due to ID verification.
- Confirmation: Proof of deletion/retrieval from systems.
4. Ownership & Timeline
- Owners: Privacy Ops, DPO, Data Engineering.
- Timeline: Continuous; typical case resolution 2-14 days.",ISO42001:7.4,GDPR-linked — Acts referenced by Art. 10,,,,,
469dd916-9d02-4e1e-8f73-2f9aa3f86ee0,hitl_coverage,Human-in-the-loop coverage,56308af8-0b67-4754-a2d6-c02d1a37e3d9,%,1,,,f,Percentage of high‑risk decisions that include a documented human review or approval step in production.,"85% (1,700 of 2,000 high-risk decisions had human approval)","Human-in-the-Loop Coverage: 
1. Core Objective
Ensures safety and accountability by mandating human review for high-stakes AI decisions. Prevents fully automated
critical errors by integrating human judgment into the production workflow.
2. Key Performance Indicators (KPIs)
Definition & Scope
- Percentage of high-risk decisions with documented human review.
- Scope: Applies to 'High-Severity' or 'High-Risk' classifications.
Calculation & Example
- Formula: (Decisions with oversight / Total high-risk decisions) * 100.
- Target: Often 100% for critical flows.
- Example: '85% (1,700 of 2,000 high-risk decisions had approval)'.
3. Required Evidence
- Oversight Matrix: Rules defining when human review is triggered.
- SOPs: Instructions for human reviewers.
- Tooling: Screenshots of 'Approve/Reject' dashboards.
- Logs: Records linking human approver IDs to decisions.
4. Ownership & Timeline
- Owners: Product, Ops, PCL (approves thresholds).
- Timeline: 1-2 sprints to design; ongoing tuning.",ISO42001:8.4,Art. 14 Human Oversight,,,,,
698c3070-ca31-4fa4-8c95-35b6d49ce44b,provenance_coverage,Provenance & licensing coverage,71083a27-557a-4e54-9bf6-5a0020074a0d,%,1,,,f,"Share of datasets/models/components with documented provenance, licenses, and usage restrictions recorded in the registry.",93% (metadata complete for 279 of 300 assets in registry),"Provenance & Licensing Coverage: 
1. Core Objective
Mitigates legal and ethical risks by validating the lineage and legal basis of all data. Prevents the use of stolen or
unlicensed data by requiring verified rights for every asset.
2. Key Performance Indicators (KPIs)
Definition & Scope
- Share of datasets/models with documented source and license.
- Scope: Training data, eval sets, and prompt libraries.
Calculation & Guardrail
- Formula: (Verified Records / Total Records) * 100.
- Guardrail: Pillar capped at 60 if coverage < 80%.
- Example: '93% (metadata complete for 279 of 300 assets)'.
3. Required Evidence
- Inventory: Source, license terms, consent, retention rules.
- Registry: Metadata records for all in-scope assets.
- Legal Reviews: Verification of usage rights vs. intent.
4. Ownership & Timeline
- Owners: Data Steward, Legal (IP/DP), Model Owner.
- Timeline: 2-6 weeks initial; rolling updates.",ISO42001:8.5,Art. 10 Data Governance & Management,,,,,
55280382-7943-4b70-befc-dd5fe84f3a1d,pcl_assignment_rate,PCL assignment ,964ac6a4-9741-41d9-b24c-c7717c9fda1a,%,1,0,100,f,"Scope has a named Product Compliance Lead. Named individual + role acceptance (RACI/charter), link to ownership in your tracker (e.g., JIRA/Asana), and visibility in the project’s governance sheet.",94% (171 of 182 PCLs have owner + due date),"PCL Assignment Rate: 
1. Core Objective
Ensures accountability by tracking the assignment of 'Product/Control Liabilities' (PCLs). It prevents risks from sitting in a
backlog by verifying that every identified liability has an owner and a due date.
2. Key Performance Indicators (KPIs)
Definition
- Percentage of identified liabilities with an owner and due date.
Calculation & Example
- Formula: (Assigned Liabilities / Total Liabilities) * 100.
- Condition: Must have BOTH 'Owner' and 'Due Date'.
- Example: '94% (171 of 182 PCLs have owner + due date)'.
3. Required Evidence
- Liability Register: Database of identified risks/controls.
- Completeness Check: Audit of 'Owner' and 'Due Date' fields.
- Aging Report: List of unassigned items exceeding timeframe.
4. Ownership & Timeline
- Owners: Product Compliance Lead (ensures assignment).
- Timeline: Continuous monitoring.",ISO42001:5.3,Art. 17 QMS — Roles & Responsibilities,,,,,
c1c19fe2-be7b-445d-b6af-5cee18674de9,xai_validation_rate,XAI validation pass rate,492d404f-a1f4-4764-87de-40088244a048,%,1,,,f,"Share of explanation quality tests (fidelity, stability, consistency) that meet predefined acceptance criteria.",84% (pass rate on fidelity/stability/consistency test suite),"XAI Validation Pass Rate: 
1. Core Objective
Acts as the QA layer for transparency. Verifies that explanations (e.g., feature importance) are scientifically accurate
(faithful), stable, and consistent, ensuring they can be trusted by users.
2. Key Performance Indicators (KPIs)
Definition
- Share of explanation quality tests meeting acceptance criteria.
Calculation & Example
- Formula: (Tests passed / Total tests) * 100.
- Dimensions: Fidelity, Stability, Consistency, Clarity.
- Example: '84% pass rate on fidelity/stability test suite'.
3. Required Evidence
- Test Plan: Methodology for fidelity/sanity checks.
- Results: Logs comparing scores vs. risk thresholds.
- Comparisons: Sample explanations vs. ground truth.
4. Ownership & Timeline
- Owners: ML QA Lead, Product/UX.
- Timeline: 1-2 weeks per model iteration.",ISO42001:8.2.4,Art. 15 Robustness & Transparency,,,,,
